 89 | Packing Material     | Nos    | stock=     0.000 | cp=    4.72 | 400ml PP Box
 71 | Dry                  | Kgs    | stock=     7.000 | cp=  147.00 | Achar
 34 | Dry                  | Kgs    | stock=     0.000 | cp=    0.00 | Ajinomoto
 38 | Dry                  | Pkt    | stock=     0.550 | cp=  252.00 | Ajwain
 67 | Dry                  | Pkt    | stock=    10.000 | cp=  105.00 | Amchur Powder
137 | Milk Based Product   | Pkt    | stock=     0.000 | cp=   20.00 | Amul Kool
  1 | Dry                  | Kgs    | stock=  1370.000 | cp=   31.00 | Atta
 30 | Dry                  | Kgs    | stock=     0.120 | cp= 1995.00 | Badi Elaichi
 62 | Dry                  | Pkt    | stock=     2.000 | cp=   67.20 | Baking Powder
171 | Dry                  | kgs    | stock=     0.000 | cp=    0.00 | Baking Powder(Expensive)
 90 | Milk Based Product   | Kgs    | stock=    15.000 | cp=  280.00 | Barfi
101 | Fresh                | Kgs    | stock=    -0.000 | cp=  160.00 | Beans
  8 | Dry                  | Kgs    | stock=    50.000 | cp=   90.00 | Besan
153 | Dry                  | kg     | stock=     0.000 | cp=   94.00 | Besan Expensive
 83 | Packing Material     | Nos    | stock=   137.000 | cp=    3.36 | Big Foil Box (Biryani)
 53 | Dry                  | Pkt    | stock=    14.000 | cp=   73.50 | Biryani Masala
 88 | Packing Material     | Nos    | stock=     3.000 | cp=  141.60 | Black Packet
 69 | Dry                  | Pkt    | stock=     0.000 | cp=  120.00 | Black Pepper Powder
105 | Fresh                | Kgs    | stock=     0.000 | cp=   20.00 | Bottle Gourd
139 | Milk Based Product   | Pcs    | stock=     0.000 | cp=   30.00 | Brownie
145 | Milk Based Product   | kg     | stock=     0.000 | cp=  200.00 | Bundi
 85 | Packing Material     | Nos    | stock=   150.000 | cp=    0.24 | Butter Roti Paper
106 | Fresh                | Kgs    | stock=     0.000 | cp=   40.00 | Cabbage
100 | Fresh                | Kgs    | stock=    -8.000 | cp=   48.00 | Capsicum
102 | Fresh                | Kgs    | stock=     0.000 | cp=   80.00 | Carrot
103 | Fresh                | Kgs    | stock=     0.000 | cp=   64.00 | Cauliflower
114 | Dry                  | Kgs    | stock=     0.500 | cp=  752.00 | Chaat Masala
 37 | Dry                  | Pkt    | stock=     0.000 | cp=   75.20 | Chaat Masala (Pkt)
136 | Milk Based Product   | Pkt    | stock=     0.000 | cp=    8.00 | Chach
116 | Dry                  | Kgs    | stock=     1.120 | cp=  751.88 | Chana Masala
 29 | Dry                  | Pkt    | stock=    -0.000 | cp=  736.01 | Chana Masala (Pkt)
 43 | Dry                  | Pkt    | stock=     0.000 | cp=  736.00 | Chana Masala (Pkt) 2
164 | Dry                  | kg     | stock=     0.000 | cp=    0.00 | Chana Masala(Expensive)
 40 | Dry                  | Kgs    | stock=     1.700 | cp=  752.00 | Chat Masala (Kgs)
113 | Packing Material     | Pkt    | stock=     0.000 | cp=  600.00 | Cling Wrap
 99 | Fresh                | Kgs    | stock=    -0.450 | cp=   35.00 | Coriander
174 | Dry                  | kg     | stock=     0.000 | cp=    0.00 | Coriander(Expensive)
131 | Dry                  | Pkt    | stock=     0.000 | cp=   80.00 | Corn Flour
 72 | Dry                  | Kgs    | stock=     4.000 | cp=  220.00 | Cream
107 | Fresh                | Kgs    | stock=    32.000 | cp=   18.00 | Cucumber
175 | Dry                  | kg     | stock=     0.000 | cp=    0.00 | Cucumber(Expensive)
111 | Milk Based Product   | Kgs    | stock=     0.000 | cp=   75.00 | Dahi
  9 | Dry                  | Kgs    | stock=    50.000 | cp=  120.00 | Dal Arhar
  7 | Dry                  | Kgs    | stock=    52.000 | cp=   80.00 | Dal Chana
 68 | Dry                  | Pkt    | stock=     0.000 | cp=   10.00 | Dal Makhani Masala
 10 | Dry                  | Pkt    | stock=    16.000 | cp=   84.00 | Dal Masoor (S)
 19 | Dry                  | Kgs    | stock=     0.270 | cp=  400.00 | Dalchini
 23 | Dry                  | Kgs    | stock=     2.710 | cp=  959.99 | Deggi Mirch
 35 | Dry                  | Kgs    | stock=    18.000 | cp=  504.00 | Desi Ghee
 27 | Dry                  | Kgs    | stock=     1.205 | cp=  199.50 | Dhaniya (S)
 55 | Dry                  | Kgs    | stock=     4.820 | cp=  199.50 | Dhaniya Powder
169 | Dry                  | kg     | stock=     0.000 | cp=    0.00 | Dhaniya Powder(Expensive)
 54 | Dry                  | Kgs    | stock=    -0.000 | cp= 3150.00 | Elaichi Small Gr
124 | Dry                  | Pkt    | stock=     0.000 | cp=   60.00 | Eno
 75 | Packing Material     | Nos    | stock=  1734.000 | cp=    1.68 | Foil Box (Rice, Sabji)
 51 | Dry                  | Pkt    | stock=     5.000 | cp=   68.44 | Food Colour
167 | Dry                  | kg     | stock=     0.000 | cp=    0.00 | Food Colour(Expensive)
 25 | Dry                  | Kgs    | stock=     0.800 | cp=  920.00 | Garam Masala
