2026-06-20: count=1 | total=12175.8
2026-06-19: count=1 | total=4745.96
2026-06-04: count=6 | total=31082.0
2026-06-03: count=6 | total=32089.0
2026-06-02: count=6 | total=35967.0
2026-06-01: count=6 | total=32064.0
2026-05-31: count=1 | total=137773.0
2026-05-30: count=3 | total=8629.0
2026-05-29: count=8 | total=37743.0
2026-05-27: count=8 | total=32132.0
2026-05-26: count=8 | total=37251.0
2026-05-25: count=8 | total=31212.0
2026-05-23: count=3 | total=8460.0
2026-05-22: count=8 | total=38109.0
2026-05-21: count=8 | total=31961.0
2026-05-20: count=8 | total=31857.0
2026-05-19: count=8 | total=35053.0
2026-05-18: count=8 | total=32962.0
2026-05-16: count=7 | total=8363.0
2026-05-15: count=8 | total=39305.0
